experiment_name,run_id,seed,scenario,backbone,depth,train_intervention,loss,class_weight_mode,train_sampler,image_ablation,run_dir,best_epoch,selection_metric,best_score
cross_location_resnet101_cw_none_sampler_class_balanced_seed42,cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,42,cross_location,resnet101,101,none,cross_entropy,none,class_balanced,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,6,macro_f1,0.6936604305833839
cross_location_resnet101_cw_none_seed42,cross_location_resnet101_cw_none_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_seed42_20260509_142432,9,macro_f1,0.7352324356603798
cross_location_resnet101_image_background_only_seed42,cross_location_resnet101_image_background_only_seed42_20260509_145413,42,cross_location,resnet101,101,none,cross_entropy,balanced,none,background_only,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_image_background_only_seed42_20260509_145413,10,macro_f1,0.5905429398687128
cross_location_resnet101_image_foreground_only_seed42,cross_location_resnet101_image_foreground_only_seed42_20260509_145446,42,cross_location,resnet101,101,none,cross_entropy,balanced,none,foreground_only,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_image_foreground_only_seed42_20260509_145446,13,macro_f1,0.6605577220241531
cross_location_resnet101_image_object_crop_seed42,cross_location_resnet101_image_object_crop_seed42_20260509_145413,42,cross_location,resnet101,101,none,cross_entropy,balanced,none,object_crop,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_image_object_crop_seed42_20260509_145413,6,macro_f1,0.7463904872255543
cross_location_resnet101_loss_focal_seed42,cross_location_resnet101_loss_focal_seed42_20260509_142424,42,cross_location,resnet101,101,none,focal,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_loss_focal_seed42_20260509_142424,5,macro_f1,0.65438392682326
cross_location_resnet101_seed42,cross_location_resnet101_seed42_20260509_142424,42,cross_location,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_seed42_20260509_142424,8,macro_f1,0.6978723432640003
cross_location_resnet101_seed42,cross_location_resnet101_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_seed42_20260509_142432,8,macro_f1,0.6978723432640003
cross_location_resnet101_seed42,cross_location_resnet101_seed42_20260509_142902,42,cross_location,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_seed42_20260509_142902,8,macro_f1,0.7307191325380608
cross_location_resnet101_seed43,cross_location_resnet101_seed43_20260509_142424,43,cross_location,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_seed43_20260509_142424,5,macro_f1,0.701238790592224
cross_location_resnet101_seed44,cross_location_resnet101_seed44_20260509_142426,44,cross_location,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_seed44_20260509_142426,11,macro_f1,0.6953881644018121
day_to_night_resnet101_cw_none_sampler_class_balanced_seed42,day_to_night_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142425,42,day_to_night,resnet101,101,none,cross_entropy,none,class_balanced,none,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142425,5,macro_f1,0.6239656896317669
day_to_night_resnet101_cw_none_seed42,day_to_night_resnet101_cw_none_seed42_20260509_142424,42,day_to_night,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_cw_none_seed42_20260509_142424,11,macro_f1,0.6712430835679032
day_to_night_resnet101_image_background_only_seed42,day_to_night_resnet101_image_background_only_seed42_20260509_145412,42,day_to_night,resnet101,101,none,cross_entropy,balanced,none,background_only,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_image_background_only_seed42_20260509_145412,8,macro_f1,0.5939928565034648
day_to_night_resnet101_image_foreground_only_seed42,day_to_night_resnet101_image_foreground_only_seed42_20260509_145412,42,day_to_night,resnet101,101,none,cross_entropy,balanced,none,foreground_only,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_image_foreground_only_seed42_20260509_145412,8,macro_f1,0.49019515924455953
day_to_night_resnet101_image_object_crop_seed42,day_to_night_resnet101_image_object_crop_seed42_20260509_145413,42,day_to_night,resnet101,101,none,cross_entropy,balanced,none,object_crop,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_image_object_crop_seed42_20260509_145413,7,macro_f1,0.7430977722781187
day_to_night_resnet101_loss_focal_seed42,day_to_night_resnet101_loss_focal_seed42_20260509_142506,42,day_to_night,resnet101,101,none,focal,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_loss_focal_seed42_20260509_142506,5,macro_f1,0.6181641440018331
day_to_night_resnet101_seed42,day_to_night_resnet101_seed42_20260509_142354,42,day_to_night,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_seed42_20260509_142354,5,macro_f1,0.6354648009815014
day_to_night_resnet101_seed42,day_to_night_resnet101_seed42_20260509_142425,42,day_to_night,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_seed42_20260509_142425,5,macro_f1,0.6354648009815014
day_to_night_resnet101_seed42,day_to_night_resnet101_seed42_20260509_142925,42,day_to_night,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_seed42_20260509_142925,5,macro_f1,0.6354648009815014
day_to_night_resnet101_seed43,day_to_night_resnet101_seed43_20260509_142355,43,day_to_night,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_seed43_20260509_142355,9,macro_f1,0.648315093445039
day_to_night_resnet101_seed44,day_to_night_resnet101_seed44_20260509_142353,44,day_to_night,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_seed44_20260509_142353,5,macro_f1,0.7060755642622427
night_to_day_resnet50_cw_none_sampler_class_balanced_seed42,night_to_day_resnet50_cw_none_sampler_class_balanced_seed42_20260509_142824,42,night_to_day,resnet50,50,none,cross_entropy,none,class_balanced,none,/scratch1/xdeng713/cs567_followup_runs/night_to_day_resnet50_cw_none_sampler_class_balanced_seed42_20260509_142824,12,macro_f1,0.6970550432176915
night_to_day_resnet50_cw_none_seed42,night_to_day_resnet50_cw_none_seed42_20260509_142652,42,night_to_day,resnet50,50,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/night_to_day_resnet50_cw_none_seed42_20260509_142652,8,macro_f1,0.696676907372636
night_to_day_resnet50_image_background_only_seed42,night_to_day_resnet50_image_background_only_seed42_20260509_145413,42,night_to_day,resnet50,50,none,cross_entropy,balanced,none,background_only,/scratch1/xdeng713/cs567_followup_runs/night_to_day_resnet50_image_background_only_seed42_20260509_145413,6,macro_f1,0.5278298421469518
night_to_day_resnet50_image_foreground_only_seed42,night_to_day_resnet50_image_foreground_only_seed42_20260509_145413,42,night_to_day,resnet50,50,none,cross_entropy,balanced,none,foreground_only,/scratch1/xdeng713/cs567_followup_runs/night_to_day_resnet50_image_foreground_only_seed42_20260509_145413,10,macro_f1,0.6042056601338512
night_to_day_resnet50_image_object_crop_seed42,night_to_day_resnet50_image_object_crop_seed42_20260509_145420,42,night_to_day,resnet50,50,none,cross_entropy,balanced,none,object_crop,/scratch1/xdeng713/cs567_followup_runs/night_to_day_resnet50_image_object_crop_seed42_20260509_145420,8,macro_f1,0.6921553911157731
night_to_day_resnet50_loss_focal_seed42,night_to_day_resnet50_loss_focal_seed42_20260509_142823,42,night_to_day,resnet50,50,none,focal,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/night_to_day_resnet50_loss_focal_seed42_20260509_142823,6,macro_f1,0.6491372541426176
night_to_day_resnet50_seed42,night_to_day_resnet50_seed42_20260509_142356,42,night_to_day,resnet50,50,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/night_to_day_resnet50_seed42_20260509_142356,13,macro_f1,0.689926953891879
night_to_day_resnet50_seed42,night_to_day_resnet50_seed42_20260509_142422,42,night_to_day,resnet50,50,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/night_to_day_resnet50_seed42_20260509_142422,11,macro_f1,0.6887888385730492
night_to_day_resnet50_seed42,night_to_day_resnet50_seed42_20260509_142955,42,night_to_day,resnet50,50,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/night_to_day_resnet50_seed42_20260509_142955,11,macro_f1,0.6887888385730492
night_to_day_resnet50_seed43,night_to_day_resnet50_seed43_20260509_142356,43,night_to_day,resnet50,50,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/night_to_day_resnet50_seed43_20260509_142356,2,macro_f1,0.5839359335579938
night_to_day_resnet50_seed44,night_to_day_resnet50_seed44_20260509_142351,44,night_to_day,resnet50,50,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/night_to_day_resnet50_seed44_20260509_142351,7,macro_f1,0.6662433314722104
