scenario,split,class_name,baseline_f1,object_crop_f1,delta_f1
cross_location,trans,bird,0.15614734305107447,0.5441176470588235,0.387970304007749
cross_location,trans,bobcat,0.5645986411943859,0.6781017724413951,0.11350313124700928
cross_location,trans,cat,0.352916650283752,0.5482954545454546,0.19537880426170257
cross_location,trans,coyote,0.6080026268880758,0.7871215761653051,0.17911894927722927
cross_location,trans,dog,0.747797638508021,0.7173076923076923,-0.030489946200328633
cross_location,trans,opossum,0.6751608814179056,0.8752913752913752,0.2001304938734696
cross_location,trans,rabbit,0.16257309941520467,0.6455223880597015,0.4829492886444968
cross_location,trans,raccoon,0.6705547198975225,0.7485123708111494,0.07795765091362694
cross_location,trans,rodent,0.052624598817007505,0.03278688524590164,-0.019837713571105864
cross_location,trans,skunk,0.4191272329203364,0.5557894736842105,0.13666224076387412
cross_location,trans,squirrel,0.5073215482869341,0.6930917327293318,0.18577018444239768
day_to_night,trans_night,bird,0.027777777777777776,0.08,0.052222222222222225
day_to_night,trans_night,bobcat,0.30303030303030304,0.6180944755804644,0.31506417255016134
day_to_night,trans_night,cat,0.2186046511627907,0.5095541401273885,0.2909494889645978
day_to_night,trans_night,coyote,0.461734693877551,0.63718820861678,0.17545351473922904
day_to_night,trans_night,dog,0.11320754716981134,0.022598870056497175,-0.09060867711331416
day_to_night,trans_night,opossum,0.4798206278026906,0.7861970828886518,0.3063764550859612
day_to_night,trans_night,rabbit,0.10606060606060606,0.2905263157894737,0.1844657097288676
day_to_night,trans_night,raccoon,0.6081871345029239,0.735885788449059,0.1276986539461351
day_to_night,trans_night,rodent,0.0,0.0,0.0
day_to_night,trans_night,skunk,0.592057761732852,0.622356495468278,0.03029873373542602
night_to_day,trans_day,bird,0.03924646781789639,0.09523809523809523,0.05599162742019884
night_to_day,trans_day,bobcat,0.3427619007109628,0.6183953033268101,0.27563340261584734
night_to_day,trans_day,cat,0.22597575153628965,0.2153846153846154,-0.010591136151674257
night_to_day,trans_day,coyote,0.4884757005930798,0.6816269284712483,0.19315122787816846
night_to_day,trans_day,dog,0.6152083126728592,0.6412512218963832,0.026042909223523925
night_to_day,trans_day,opossum,0.7410649912452364,0.8461538461538461,0.10508885490860975
night_to_day,trans_day,rabbit,0.24682211727666273,0.4637096774193548,0.2168875601426921
night_to_day,trans_day,raccoon,0.5803814002089864,0.5816326530612245,0.0012512528522380384
night_to_day,trans_day,rodent,0.0,0.0,0.0
night_to_day,trans_day,skunk,0.17031630170316303,0.3333333333333333,0.16301703163017028
